I
1000 Generated by WorldEditor

1    229 1 0 SVMI Caracas Simon Bolivar Intl
112  10.60362486 -067.01183799  10.60370852 -067.01156717
113  10.60377507 -067.01177401
110 2 0.00 120.0000 New Taxiway 4
111  10.60257998 -067.01069013 3 102
112  10.60225148 -067.01102817  10.60223893 -067.01132608
111  10.60215958 -067.01075772
112  10.60217180 -067.01045279  10.60216762 -067.01044428
111  10.60227449 -067.01015574 3 102
114  10.60258427 -067.01050116  10.60287709 -067.01053521
110 2 0.00 120.0000 AlphajoinFox
112  10.60193148 -067.01197692  10.60203347 -067.01188064 3 102
112  10.60206047 -067.01174664  10.60207268 -067.01165834
111  10.60205369 -067.01212373
113  10.60155360 -067.01207418 3 102
110 2 0.00 120.0000 New Taxiway 7
111  10.60436361 -066.97305194 3 102
112  10.60458794 -066.97306678  10.60469970 -066.97288861
112  10.60448847 -066.97350332  10.60444805 -066.97369584
112  10.60444254 -066.97362668  10.60448479 -066.97346033 3 102
113  10.60428542 -066.97324019
110 2 0.00 120.0000 New Taxiway 5
111  10.60387048 -066.97254006 3 102
112  10.60398252 -066.97197548  10.60417062 -066.97183453 3 102
112  10.60434596 -066.97185711  10.60438419 -066.97185428
112  10.60430593 -066.97201952  10.60407733 -066.97196617 3 102
114  10.60401152 -066.97245272  10.60408901 -066.97264540
110 2 0.00 120.0000 New Taxiway 3
111  10.60463846 -066.97210407
111  10.60481028 -066.97215058
114  10.60477350 -066.97230589  10.60478979 -066.97223486 3 102
110 2 0.00 120.9200 New Taxiway 37
111  10.60083498 -066.99052187
111  10.60069479 -066.99048270
114  10.60072749 -066.99037441  10.60070731 -066.99044307 3 102
110 2 0.00 120.9200 New Taxiway 36
111  10.60063635 -066.99074105
111  10.60069479 -066.99048270
111  10.60083498 -066.99052187
114  10.60079009 -066.99064376  10.60068573 -066.99061261 3 102
110 2 0.00 120.9200 New Taxiway 35
111  10.60016308 -066.99050784
111  10.60028683 -066.99053167
114  10.60024719 -066.99067570  10.60025621 -066.99057840
110 2 0.00 120.9200 New Taxiway 34
112  10.60035619 -066.99025728  10.60039228 -066.99017467
111  10.60038767 -066.99022902
111  10.60033375 -066.99039031
113  10.60020344 -066.99034779
110 2 0.00 120.9200 New Taxiway 33
112  10.59922097 -066.98984980  10.59925590 -066.98975206
111  10.59916856 -066.99008527
113  10.59895676 -066.99002307
110 2 0.00 120.9200 New Taxiway 32
112  10.59894585 -066.99017635  10.59880610 -066.99008527
111  10.59913363 -066.99022522
113  10.59906594 -066.99049401
110 2 0.00 120.9200 New Taxiway 31
112  10.59922623 -066.99050882  10.59919110 -066.99062575
111  10.59914107 -066.99046884
111  10.59927606 -066.99025397
113  10.59954403 -066.99032667
110 2 0.00 345.1000 New Taxiway 30
111  10.59957976 -066.99018531
111  10.59930980 -066.99011059
114  10.59937530 -066.98985008  10.59934553 -066.99003789
110 2 0.00 120.9200 New Taxiway 29
112  10.60259819 -066.98111576  10.60265197 -066.98095503
111  10.60256906 -066.98129473
113  10.60238306 -066.98124686
110 2 0.00 120.9200 New Taxiway 28
112  10.60233496 -066.98139635  10.60221121 -066.98137922
111  10.60242251 -066.98132354
111  10.60253027 -066.98144430
113  10.60248705 -066.98161586
110 2 0.00 120.9200 New Taxiway 27
112  10.60148039 -066.98135909  10.60146002 -066.98143577
111  10.60146919 -066.98134665
111  10.60151604 -066.98118602
113  10.60171232 -066.98123726
110 2 0.00 120.9200 New Taxiway 24
111  10.60173132 -066.98108217
111  10.60154558 -066.98103472
114  10.60160161 -066.98084612  10.60159244 -066.98094767
110 2 0.00 120.9200 New Taxiway 23
111  10.60218067 -066.97683723
111  10.60223243 -066.97663911
114  10.60234706 -066.97666921  10.60224722 -066.97664789
110 2 0.00 120.9200 New Taxiway 22
112  10.60235445 -066.97667171  10.60227680 -066.97664914
111  10.60235815 -066.97667171
111  10.60246168 -066.97669805
113  10.60241115 -066.97689366
110 2 0.00 120.9200 New Taxiway 17
111  10.60261965 -066.97671808
111  10.60290268 -066.97679568
112  10.60281554 -066.97680766  10.60265570 -066.97681654
113  10.60255527 -066.97697489
110 2 0.00 120.9200 New Taxiway 16
111  10.60344630 -066.97677718
112  10.60368828 -066.97668926  10.60370996 -066.97659826
111  10.60379039 -066.97686842
111  10.60358890 -066.97733572
112  10.60357070 -066.97721578  10.60354967 -066.97721822
112  10.60354703 -066.97704573  10.60349548 -066.97695834
113  10.60340268 -066.97693870
110 2 0.00 120.9200 New Taxiway 14
111  10.60467918 -066.97195438 3 102
112  10.60487836 -066.97186027  10.60491940 -066.97178976
114  10.60488096 -066.97200576  10.60481997 -066.97200595
110 2 0.00 120.0000 Alphajoin10no2
111  10.60322261 -067.01215541 3 102
112  10.60363844 -067.01146630  10.60366226 -067.01091140
112  10.60369539 -067.01173851  10.60369539 -067.01184755
114  10.60361883 -067.01203759  10.60356065 -067.01214041
110 2 0.00 0.0000 TaxiwayB
111  10.60339829 -067.01073586 3 102
111  10.60257998 -067.01069013 103
111  10.60258427 -067.01050116 3 102
113  10.60339305 -067.01055141
110 2 0.00 120.0000 New Taxiway 4
111  10.60237510 -066.99658189 3 102
111  10.60168415 -066.99654958
111  10.60171766 -066.99646566
111  10.60165847 -066.99638278 3 102
111  10.60237130 -066.99640585
113  10.60231549 -066.99650256
110 2 0.25 178.1400 xxx
111  10.60375143 -066.99661964 3 102
111  10.60293032 -066.99659543
111  10.60290180 -066.99641746 3 102
113  10.60375873 -066.99645083
110 2 0.00 120.0000 Alpha
111  10.60203621 -067.01228530 3 102
111  10.60158860 -067.01223078
111  10.60171759 -067.01213749
111  10.60155360 -067.01207418
111  10.60205369 -067.01212373
113  10.60207284 -067.01217820
110 2 0.25 178.1400 A
111  10.60321225 -067.01232547 3 102
111  10.60220698 -067.01229074
111  10.60261739 -067.01213845 3 102
113  10.60322261 -067.01215541
110 2 0.00 120.0000 New Taxiway 2
111  10.60270844 -067.00270436 3 102
111  10.60363450 -067.00274077
111  10.60363003 -067.00291853 3 102
113  10.60273760 -067.00287647
110 2 0.25 178.1400 xxx
111  10.60218174 -067.00286879 3 102
111  10.60169392 -067.00284528
111  10.60170723 -067.00267311 3 102
113  10.60217794 -067.00269275
110 2 0.25 178.1400 xxx
111  10.60230074 -066.99904722 3 102
111  10.60178541 -066.99902620
111  10.60179047 -066.99885626 3 102
113  10.60230477 -066.99887119
110 2 0.00 120.0000 AjoinF2
112  10.60221999 -067.01180863  10.60222208 -067.01202568 3 102
111  10.60261739 -067.01213845
113  10.60220698 -067.01229074
110 2 0.25 57.1000 xxx
111  10.60298101 -066.98826133 3 102
111  10.60424334 -066.98625234
111  10.60406244 -066.98686863 3 102
113  10.60311919 -066.98835228 5
110 2 0.25 345.1000 xxx
111  10.60083498 -066.99052187 3 102
111  10.60249036 -066.99096431
111  10.60248922 -066.99113620 3 102
113  10.60079009 -066.99064376
110 2 0.25 178.1400 xxx
111  10.60394837 -066.99122893 3 102
111  10.60310139 -066.99121619 5
111  10.60309793 -066.99102987 3 102
113  10.60395111 -066.99105611
110 2 0.25 75.9200 9-27prltxy
111  10.60143115 -066.98080129
111  10.60246168 -066.97669805
111  10.60261965 -066.97671808
113  10.60160161 -066.98084612
110 2 0.25 165.9200 xxx
111  10.60340443 -066.97693870
111  10.60224722 -066.97664789
111  10.60227286 -066.97646873
113  10.60344630 -066.97677718
110 2 0.25 120.9200 xxx
111  10.60463846 -066.97210407 3 102
111  10.60430593 -066.97201952
111  10.60434596 -066.97185711 3 102
113  10.60467918 -066.97195438
110 2 0.25 120.9200 xxx
111  10.60428542 -066.97324019 3 102
111  10.60387048 -066.97254006
111  10.60401152 -066.97245272 3 102
113  10.60436361 -066.97305194
110 2 0.25 165.9200 xxx
111  10.60253027 -066.98144430
111  10.60151604 -066.98118602
111  10.60154558 -066.98103472
113  10.60256906 -066.98129473
110 2 0.25 88.1400 Apron
111  10.59739395 -067.01205853
111  10.59782833 -066.99845038
111  10.60153802 -066.99857375
113  10.60103466 -067.01217872
110 2 0.25 88.1400 North Apron
111  10.60104863 -067.01142728
111  10.60134724 -067.00341948
111  10.60163417 -067.00343149
113  10.60135462 -067.01144240
110 2 0.25 88.1400 Parking
111  10.59507563 -067.00979872
111  10.59542098 -066.99897982
111  10.59713992 -066.99903661
113  10.59679457 -067.00985551
110 2 0.25 88.1400 More_apron
111  10.59660986 -067.00841392
111  10.59686617 -067.00038409
111  10.59799569 -067.00042140
113  10.59773937 -067.00845124
110 2 0.25 88.1400 Hotel
111  10.60107563 -066.99855693 3 102
111  10.60126587 -066.99673248 103
111  10.60143890 -066.99672861 3 102
113  10.60153533 -066.99857375 103
110 2 0.25 75.9200 xxx
111  10.59766669 -066.99042660
111  10.60117670 -066.97618903
111  10.60227286 -066.97646873
113  10.59876285 -066.99070630
110 2 0.25 75.9200 xxx
111  10.59658576 -066.99014680
111  10.59783963 -066.98506083
111  10.59893578 -066.98534053
113  10.59768192 -066.99042650
110 2 0.25 108.9200 xxx
111  10.59840172 -066.99623357
111  10.59798814 -066.99500605
111  10.59814383 -066.99495176
113  10.59855740 -066.99617927
110 2 0.25 75.9200 xxx
111  10.59690041 -066.99480043 3 102
111  10.59748697 -066.99242120
111  10.59858313 -066.99270090
113  10.59799657 -066.99508013
110 2 0.25 108.9200 xxx
111  10.59769786 -066.99713293 3 102
111  10.59690041 -066.99480043
111  10.59782386 -066.99448476
113  10.59860565 -066.99680515
110 2 0.25 165.9200 xxx
111  10.59859487 -066.99736487 3 102
111  10.59769786 -066.99713293
111  10.59783933 -066.99655910
113  10.59884769 -066.99681640
110 2 0.25 88.1400 North_10_Apron
111  10.60408343 -067.01273214
111  10.60411895 -067.01158959
111  10.60454937 -067.01161254 3 106
113  10.60451260 -067.01275574 3 106
110 2 0.00 120.0000 New Taxiway 2
111  10.60408343 -067.01273214 3
112  10.60402265 -067.01231360  10.60395253 -067.01233263
111  10.60397123 -067.01232311
111  10.60402777 -067.01189207 3
112  10.60411895 -067.01158959  10.60412830 -067.01126142
113  10.60415823 -067.01209958
110 2 0.00 120.0000 New Taxiway 10
111  10.59922097 -066.98984980
111  10.59937530 -066.98985008
111  10.59931051 -066.99020578
111  10.59922623 -066.99050882
111  10.59920952 -066.99056154
111  10.59899224 -066.99133872
111  10.59829016 -066.99428849
111  10.59818127 -066.99421269
111  10.59850224 -066.99278102
113  10.59858645 -066.99240405
110 2 0.00 120.0000 New Taxiway 8
111  10.60160161 -066.98084612
111  10.60155044 -066.98105282
111  10.60151604 -066.98118602
111  10.60148039 -066.98135909
111  10.60130970 -066.98131300
113  10.60143115 -066.98080129
110 2 0.00 120.0000 New Taxiway 4
111  10.60411895 -067.01158959 3 106
111  10.60412329 -067.01150164 3 106
111  10.60455902 -067.01118340 3 106
113  10.60454937 -067.01161254
120 Linear Feature 8
111  10.60359121 -067.01064041 51 101
116  10.60388256 -067.01024028  10.60389353 -067.00988527
120 Linear Feature 1
111  10.60278212 -066.99131340 51 101
116  10.60312407 -066.99110521  10.60342489 -066.99111371
120 Linear Feature 30
111  10.59877545 -066.98994431 51 101
115  10.59771587 -066.98966563
120 Linear Feature 29
111  10.59839908 -066.99034503 51 101
116  10.59760149 -066.99013725  10.59758944 -066.99014031
120 Linear Feature 28
111  10.60241864 -066.97660226 51 101
111  10.60239247 -066.97659466 51 101
116  10.60197867 -066.97681885  10.60188335 -066.97718014
120 Linear Feature 26
111  10.59877582 -066.98994306 51 101
111  10.60037351 -066.98339478 51 101
115  10.60197867 -066.97681885
120 Linear Feature 25
111  10.59872436 -066.99016586 51 101
115  10.59877759 -066.98994225
120 Linear Feature 24
111  10.59886149 -066.99008361 51 101
116  10.59877759 -066.98994225  10.59880034 -066.98985149
120 Linear Feature 23
111  10.59872436 -066.99016586 51 101
116  10.59839908 -066.99034503  10.59811791 -066.99027105
120 Linear Feature 22
111  10.59895819 -066.99010699 51 101
112  10.59886149 -066.99008361  10.59885990 -066.99008280 51 101
116  10.59872436 -066.99016586  10.59869820 -066.99026344
120 Linear Feature 20
111  10.60098803 -067.01011121 51 101
112  10.60118471 -067.00923670  10.60119928 -067.00894767 51 101
111  10.60130491 -067.00570903 51 101
112  10.60135590 -067.00362153  10.60133769 -067.00345108 51 101
115  10.60128428 -067.00344663
120 Linear Feature 19
111  10.60085803 -067.01158922 51 101
116  10.60098962 -067.01011458  10.60110886 -067.00995979
120 Linear Feature 18
111  10.60110162 -067.01207108 51 101
116  10.60085803 -067.01158922  10.60088682 -067.01113114
120 Linear Feature 17
111  10.60131700 -067.00262082 51 101
116  10.60123366 -067.00274688  10.60115327 -067.00274824
120 Linear Feature 16
111  10.60131327 -067.00287373 51 101
116  10.60123366 -067.00274688  10.60115693 -067.00274492
120 Linear Feature 15
111  10.59933456 -067.00266941 51 101
116  10.59915395 -067.00249791  10.59916298 -067.00234173
120 Linear Feature 14
111  10.60140916 -067.00275289 51 101
111  10.59997326 -067.00270310 51 101
111  10.59933456 -067.00267247 51 101
116  10.59914191 -067.00285928  10.59913288 -067.00305221
120 Linear Feature 13
111  10.59911170 -067.00383694 51 101
116  10.59930558 -067.00402325  10.59947192 -067.00402705
120 Linear Feature 12
111  10.60067560 -067.00406981 51 101
111  10.59930558 -067.00402325 51 101
116  10.59910095 -067.00421257  10.59910095 -067.00441475
120 Linear Feature 11
111  10.60128428 -067.00344663 51 101
116  10.60067560 -067.00406981  10.60000457 -067.00404779
120 Linear Feature 10
112  10.59887651 -067.01079686  10.59885491 -067.01138318 51 101
116  10.59986879 -067.01202143  10.60025443 -067.01210521
120 Linear Feature 9
111  10.60129757 -066.99856043 51 101
112  10.60107320 -066.99883353  10.60080877 -066.99882538 51 101
112  10.60049533 -066.99881315  10.60029100 -066.99880907 51 101
111  10.59962592 -066.99878462 51 101
112  10.59926529 -066.99941015  10.59923815 -067.00010070 51 101
116  10.59884232 -067.01189679  10.59884079 -067.01200795
120 Linear Feature 7
111  10.60128428 -067.00344663 51 101
111  10.60131240 -067.00287440 51 101
111  10.60131700 -067.00262082 51 101
111  10.60133286 -067.00226048 51 101
111  10.60144644 -066.99924701 51 101
116  10.60163099 -066.99894249  10.60181480 -066.99895141
120 Linear Feature 6
111  10.60140916 -067.00275289 51 101
116  10.60131700 -067.00262082  10.60131996 -067.00249614
120 Linear Feature 4
111  10.60235043 -067.00280601 51 101
112  10.60193486 -067.00277661  10.60192091 -067.00277677 51 101
111  10.60140916 -067.00275289 51 101
116  10.60131240 -067.00287440  10.60130678 -067.00298012
120 Linear Feature 3
111  10.60241889 -067.00275600 51 101
116  10.60235404 -067.00280655  10.60230411 -067.00280481
120 Linear Feature 2
111  10.60248361 -067.00280755 51 101
115  10.60235404 -067.00280655
120 Linear Feature 1
111  10.60241462 -067.00288088 51 101
116  10.60235404 -067.00280655  10.60230045 -067.00280647
120 Linear Feature 6
111  10.60419273 -066.97192291 51 101
116  10.60406918 -066.97199129  10.60401551 -066.97204735
120 Linear Feature 15
111  10.60406918 -066.97199129 51 101
112  10.60395103 -066.97216434  10.60392384 -066.97223077 51 101
112  10.60391657 -066.97235436  10.60392273 -066.97244744 51 101
112  10.60399299 -066.97258148  10.60407009 -066.97270332 51 101
111  10.60430370 -066.97308909 51 101
112  10.60445855 -066.97332729  10.60455008 -066.97346766 51 101
112  10.60459716 -066.97364904  10.60462179 -066.97378315 51 101
116  10.60457818 -066.97393231  10.60455436 -066.97402532
120 Linear Feature 123
111  10.60241889 -067.00275600 51 101
112  10.60244558 -067.00279662  10.60246486 -067.00281062 51 101
115  10.60248361 -067.00280755
120 Linear Feature 122
111  10.60242336 -066.99895549 51 101
116  10.60254586 -066.99879254  10.60254714 -066.99874443
120 Linear Feature 120
111  10.60163099 -066.99894249 51 101
111  10.60191217 -066.99895549 51 101
111  10.60242208 -066.99895549 51 101
116  10.60253500 -066.99913103  10.60252861 -066.99921425
120 Linear Feature 117
111  10.60394837 -066.99122893 54 104
115  10.60395111 -066.99105611
120 Linear Feature 116
111  10.60408777 -066.99114565 51 101
112  10.60425255 -066.99112701  10.60431720 -066.99109759 51 101
112  10.60440933 -066.99096995  10.60442975 -066.99093880 51 101
112  10.60445356 -066.99083150  10.60446207 -066.99080553 51 101
111  10.60446949 -066.99074293 51 101
111  10.60449551 -066.99057997 51 101
112  10.60450800 -066.99050418  10.60450876 -066.99049302 51 101
115  10.60450818 -066.99045443
120 Linear Feature 115
111  10.60312407 -066.99110521 51 101
111  10.60345797 -066.99112524 51 101
111  10.60408777 -066.99114565 51 101
112  10.60428128 -066.99120180  10.60437466 -066.99124717 51 101
111  10.60441166 -066.99136152 51 101
112  10.60445922 -066.99150303  10.60447225 -066.99157338 51 101
111  10.60447213 -066.99163841 51 101
116  10.60447108 -066.99168987  10.60447029 -066.99171328
120 Linear Feature 113
111  10.60278659 -066.99119570 51 101
112  10.60276844 -066.99113941  10.60275550 -066.99112401 51 101
116  10.60269696 -066.99110848  10.60265450 -066.99109538
120 Linear Feature 112
111  10.60278659 -066.99119570 51 101
115  10.60279334 -066.99104054
120 Linear Feature 110
111  10.60321225 -067.01232547 54 104
115  10.60322261 -067.01215541
120 Linear Feature 109
111  10.60339829 -067.01073586 54 104
115  10.60339305 -067.01055141
120 Linear Feature 108
112  10.60363003 -067.00291853  10.60363344 -067.00277843 54 104
116  10.60363499 -067.00274084  10.60363557 -067.00272895
120 Linear Feature 107
111  10.60373629 -067.00282224 51 101
112  10.60393121 -067.00277058  10.60398977 -067.00273151 51 101
116  10.60412854 -067.00253006  10.60413033 -067.00243345
120 Linear Feature 105
111  10.60248361 -067.00280755 51 101
111  10.60273165 -067.00280939 51 101
111  10.60359064 -067.00281938 51 101
111  10.60373629 -067.00282224 51 101
116  10.60410464 -067.00317840  10.60409480 -067.00331857
120 Linear Feature 104
111  10.60241462 -067.00288088 51 101
112  10.60243689 -067.00283257  10.60245242 -067.00281408 51 101
116  10.60248361 -067.00280755  10.60249979 -067.00280772
120 Linear Feature 103
111  10.60237145 -067.01059881 51 101
116  10.60217180 -067.01045279  10.60217246 -067.01038874
120 Linear Feature 102
111  10.60215958 -067.01075772 51 101
111  10.60216687 -067.01060639 51 101
115  10.60261414 -066.99666416
120 Linear Feature 101
111  10.60213097 -067.01183954 51 101
116  10.60152848 -067.01216250  10.60091917 -067.01210776
120 Linear Feature 100
111  10.60215958 -067.01075772 51 101
111  10.60214368 -067.01126858 51 101
111  10.60213097 -067.01183954 51 101
